

                                                                                 
                                                                                 


 Solution Properties:

 Integral  (#/cc)                        =        0.1540D+04
 Log-mean particle diameter (microns)    =        0.9689D+01
 Geometric standard deviation            =        0.7418D+01
 Integral of (f''(x))^2                  =        0.2149D+08


 Smoothing parameter (CGCV)              =        0.3275D-10
 Tolerance used to find target (tol(2))  =        0.2500D+00
 Smoothing choice functional             =        0.5041D+00
 Quadratic functional                    =        0.6103D+00
 Interval of kernel function variance    =      ( 0.2558D+01, 0.4947D+03)
 Dimension of solution vector            =               201

 Lower interval diameter (microns)       =        0.2500D+01

 Upper interval diameter (microns)       =        0.1000D+04


 Number distribution and volume distribution:

  111     0.150E+02    0.138E+02    0.303E+00                            
  112     0.152E+02    0.112E+02    0.102E+01                            
  113     0.135E+02    0.875E+01    0.129E+01                            
  114     0.110E+02    0.655E+01    0.135E+01                            
  115     0.936E+01    0.470E+01    0.152E+01                            
  116     0.102E+02    0.323E+01    0.218E+01                            
  117     0.675E+01    0.213E+01    0.178E+01                            
  118     0.641E+01    0.135E+01    0.200E+01                            
  119     0.427E+01    0.817E+00    0.167E+01                            
  120     0.449E+01    0.474E+00    0.189E+01                            
  121     0.346E+01    0.263E+00    0.172E+01                            
  122     0.248E+01    0.140E+00    0.149E+01                            
  123     0.201E+01    0.709E-01    0.137E+01                            
  124     0.111E+01    0.344E-01    0.102E+01                            
  125     0.940E+00    0.160E-01    0.953E+00                            
